Source (A),,,,,Source (B),,,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
12883961,,,,,"Sorry, but what they did was just sick and wrong .Protesting at a funeral ?That is just disgusting and completely immoral .",,,21,2.86,50,2.82,1,21,23.81,100,66.67,14.29,4.76,0,0,0,0,4.76,9.52,4.76,4.76,14.29,14.29,14.29,0,19.05,14.29,0,4.76,0,0,28.57,0,28.57,0,4.76,4.76,4.76,0,0,0,0,9.52,0,0,0,0,4.76,4.76,0,0,0,0,4.76,0,4.76,0,0,4.76,0,0,0,0,4.76,9.52,4.76,0,4.76,0,4.76,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,19.05,9.52,4.76,0,0,4.76,0,0,0,0,0,0
31744026,,,,,"O and Happy Birthday from Michigan , US to everyone on this page , heh heh .14/88Im glad to see this board back in action , whew .",,,25,88.69,88.48,43.37,99,25,12,76,44,16,4,0,4,0,0,0,12,0,20,0,4,4,0,4,8,0,0,4,0,16,16,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,20,4,12,8,0,0,0,0,0,0,12,0,12,0,0,0,20,4,12,0,0,0,0,0,0,0,0,4
14097590,,,,,Go to the audio archive of David Duke 's Town Hall and you 'll hear the voice of David Duke and other prominent pro-white activists .Here is the link .,,,30,93.26,90.87,43.37,25.77,30,10,76.67,40,6.67,3.33,0,0,3.33,0,0,3.33,10,10,3.33,3.33,6.67,0,10,3.33,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,6.67,6.67,3.33,0,0,0,0,3.33,13.33,3.33,10,0,0,0,0,0,0,3.33,0,0,3.33,0,0,0,10,0,13.33,3.33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,6.67,0,0,0,0,0,3.33,0,6.67,0,0
14301093,,,,,I just had an extreme mini blizzard ( cookie dough ) from Dairy Extremist .You have to have your extreme papers to move here .,,,22,57.84,91.35,2.4,25.77,22,18.18,77.27,54.55,13.64,13.64,4.55,0,9.09,0,0,0,4.55,13.64,13.64,9.09,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,0,0,0,0,0,0,4.55,13.64,0,4.55,4.55,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,9.09,0
14110189,,,,,"hi, I am a 20 year old female looking for someone to talk to and develope a relationshp .ElizabethI hope you respond .",,,22,93.26,99,2.4,94.75,22,27.27,86.36,45.45,13.64,9.09,4.55,0,4.55,0,0,4.55,9.09,13.64,4.55,0,4.55,0,13.64,4.55,0,0,4.55,0,4.55,4.55,0,0,0,0,27.27,0,0,4.55,0,9.09,0,0,4.55,9.09,0,0,4.55,4.55,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,13.64,4.55,9.09,0,0,9.09,4.55,0,0,0,0,0,0,0,0,0,0,0,13.64,9.09,4.55,0,0,0,0,0,0,0,0,0
14097304,,,,,"I mean three or four years older , like 24 or 25 years of age .She said she was 21 years old .",,,21,55.4,50,99,25.77,21,0,85.71,38.1,14.29,14.29,4.76,0,0,9.52,0,0,0,9.52,4.76,0,9.52,0,14.29,9.52,9.52,0,23.81,0,0,0,0,0,0,0,14.29,0,0,9.52,0,14.29,4.76,0,0,9.52,0,9.52,4.76,0,4.76,0,0,0,0,0,0,4.76,0,0,4.76,0,0,9.52,4.76,0,28.57,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,14.29,9.52,4.76,0,0,0,0,0,0,0,0,0
14673476,,,,,I'd like to know exactly what a `` white supremacist '' is first .Last I checked it 's another kind of supremacist controlling everything .,,,21,41.91,31.71,68.01,99,21,38.1,90.48,47.62,28.57,9.52,9.52,0,0,0,0,19.05,4.76,9.52,9.52,0,0,0,14.29,4.76,4.76,4.76,4.76,4.76,9.52,9.52,0,0,0,0,4.76,0,0,0,0,23.81,4.76,4.76,0,4.76,9.52,0,4.76,4.76,0,0,0,0,0,0,0,9.52,0,4.76,4.76,0,0,0,9.52,0,9.52,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,38.1,9.52,0,0,0,0,0,0,0,19.05,0,9.52
12848466,,,,,"She gets cussed every day .She is white .My aunt teaches at an all black inner city school in Kent , OH .Somebody scratched her car and let the air out of the tires one day .Some of the kids threw a DESK out of a third floor window onto a teacher and broke his arm .She says the class is out of control and the kids are unteachable , and the black administration does not support her .",,,76,95.37,85.38,9.58,25.77,76,10.53,94.74,50,10.53,9.21,1.32,0,0,7.89,0,1.32,13.16,13.16,6.58,0,5.26,1.32,13.16,1.32,0,0,2.63,3.95,2.63,1.32,1.32,0,0,1.32,14.47,1.32,0,7.89,1.32,7.89,0,1.32,0,2.63,2.63,1.32,6.58,3.95,1.32,1.32,1.32,1.32,0,0,0,6.58,0,0,5.26,1.32,0,2.63,9.21,0,18.42,2.63,13.16,2.63,7.89,0,1.32,0,0,0,1.32,0,0,0,1.32,0,10.53,7.89,2.63,0,0,0,0,0,0,0,0,0
14675159,,,,,Also you did contradict yourself .Read what is in Bold .All that the DNA test will prove is that you are still a mongrel .,,,24,3.8,99,7.84,25.77,24,12.5,91.67,66.67,25,12.5,0,0,12.5,0,0,12.5,8.33,4.17,20.83,8.33,4.17,0,25,0,0,4.17,0,4.17,8.33,4.17,4.17,0,4.17,0,16.67,0,0,0,0,8.33,4.17,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,4.17,0,4.17,12.5,4.17,8.33,0,4.17,4.17,8.33,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0
31787598,,,,,Although I am not an old fart ... I 'm in my 20s .I was wondering the same thing when I first saw that this section was added .,,,27,4.69,1,99,25.77,13.5,11.11,88.89,62.96,29.63,18.52,18.52,0,0,0,0,11.11,7.41,3.7,11.11,3.7,7.41,3.7,18.52,3.7,3.7,3.7,3.7,7.41,0,0,0,0,0,0,0,0,0,0,0,11.11,3.7,0,0,3.7,0,7.41,3.7,3.7,0,0,0,0,0,0,0,7.41,0,3.7,0,3.7,0,14.81,3.7,0,18.52,0,7.41,11.11,0,0,0,0,0,0,0,0,0,0,0,0,22.22,18.52,0,0,0,0,0,0,0,3.7,0,0
